NameGame,TotalPrize,Player,Tournaments
Dota 2,38054862.80,1001 Players,160 Tournaments
Counter-Strike: Global Offensive,19257954.37,4757 Players,898 Tournaments
League of Legends,12136323.35,1823 Players,174 Tournaments
Heroes of the Storm,5444449.54,441 Players,41 Tournaments
Call of Duty: Infinite Warfare,4027894.95,298 Players,72 Tournaments
Hearthstone,3476623.09,678 Players,122 Tournaments
Overwatch,3468515.83,1515 Players,265 Tournaments
StarCraft II,3400096.98,369 Players,631 Tournaments
Halo 5: Guardians,1748000.00,99 Players,14 Tournaments
SMITE,1567900.00,143 Players,8 Tournaments
H1Z1,1551550.00,88 Players,8 Tournaments
CrossFire,1518142.74,169 Players,35 Tournaments
Quake Champions,1481152.31,127 Players,55 Tournaments
FIFA 17,1447883.11,124 Players,40 Tournaments
Rocket League,1417464.98,236 Players,78 Tournaments
Street Fighter V,1303538.78,147 Players,46 Tournaments
Gears of War 4,1024000.00,77 Players,14 Tournaments
PLAYERUNKNOWN’S BATTLEGROUNDS,1007803.60,193 Players,14 Tournaments
rFactor 2,1000000.00,30 Players,1 Tournament
Madden NFL 2017,904000.00,39 Players,4 Tournaments
Clash Royale,775496.34,65 Players,9 Tournaments
Rainbow Six Siege,762350.95,196 Players,14 Tournaments
World of WarCraft,726000.00,115 Players,17 Tournaments
World of Tanks,700000.00,98 Players,3 Tournaments
Super Smash Bros. Melee,625446.11,447 Players,292 Tournaments
Injustice 2,528370.35,30 Players,9 Tournaments
Pro Evolution Soccer 2017,510000.00,16 Players,5 Tournaments
Super Smash Bros. for Wii U,474688.11,378 Players,203 Tournaments
Arena of Valor,470000.00,57 Players,4 Tournaments
StarCraft: Brood War,368797.94,82 Players,51 Tournaments
Paladins,357026.63,108 Players,18 Tournaments
FIFA Online 3,342023.00,46 Players,2 Tournaments
Gwent,302988.98,274 Players,91 Tournaments
Call of Duty: World War II,271000.00,60 Players,21 Tournaments
WarCraft III,242954.20,96 Players,198 Tournaments
Vainglory,179400.00,101 Players,10 Tournaments
Brawlhalla,170667.70,157 Players,60 Tournaments
Tekken 7,164749.02,63 Players,12 Tournaments
Blade & Soul,149772.00,24 Players,1 Tournament
Point Blank,121570.00,78 Players,4 Tournaments
Heroes of Newerth,117046.61,20 Players,2 Tournaments
Magic: the Gathering Online,116000.00,16 Players,1 Tournament
Pokémon VGC,113000.00,83 Players,9 Tournaments
KartRider,76160.35,33 Players,2 Tournaments
Team Fortress 2,74294.70,128 Players,15 Tournaments
Age of Empires II: The Age of Kings,64313.00,125 Players,20 Tournaments
FIFA 18,46049.48,44 Players,7 Tournaments
Hand of the Gods,44400.00,44 Players,34 Tournaments
Killer Instinct (2013),42910.00,39 Players,5 Tournaments
Pokkén Tournament,35545.00,28 Players,8 Tournaments
World of Tanks Blitz,30000.00,14 Players,1 Tournament
Guilty Gear Xrd REV 2,28350.00,31 Players,6 Tournaments
Age of Empires,27588.21,65 Players,14 Tournaments
Project M,25890.48,102 Players,22 Tournaments
Battlerite,23541.71,42 Players,35 Tournaments
King of Fighters XIV,21738.67,35 Players,8 Tournaments
BlazBlue: Central Fiction,21690.00,36 Players,7 Tournaments
Madden NFL 2018,20676.62,9 Players,2 Tournaments
Mad Skills Motocross 2,20163.00,12 Players,1 Tournament
iRacing.com,16000.00,19 Players,4 Tournaments
Rivals of Aether,14100.00,13 Players,3 Tournaments
Yu-Gi-Oh! Duel Links,13354.44,142 Players,85 Tournaments
Super Smash Bros.,13273.74,87 Players,19 Tournaments
Heavy Metal Machines,12339.33,35 Players,1 Tournament
TrackMania 2: Stadium,10832.19,35 Players,12 Tournaments
Quake Live,10492.75,21 Players,19 Tournaments
Ultimate Marvel vs. Capcom 3,10330.00,21 Players,6 Tournaments
Critical Ops,10106.41,4 Players,2 Tournaments
Quake II,10000.00,3 Players,1 Tournament
osu!,7560.00,499 Players,3 Tournaments
Doom (2016),7000.00,6 Players,1 Tournament
Pokkén Tournament DX,6029.00,11 Players,3 Tournaments
Project Cars,5280.79,0 Players,1 Tournament
QuakeWorld,5000.00,3 Players,1 Tournament
Rage,5000.00,3 Players,1 Tournament
The Elder Scrolls: Legends,5000.00,3 Players,1 Tournament
Wolfenstein: Enemy Territory,4493.30,23 Players,2 Tournaments
Skullgirls 2nd Encore,4180.00,13 Players,2 Tournaments
Power Rangers: Legacy Wars,4178.55,2 Players,1 Tournament
Marvel vs. Capcom: Infinite,3920.00,14 Players,3 Tournaments
Splatoon 2,3425.00,0 Players,3 Tournaments
Super Smash Bros. Brawl,3401.77,26 Players,7 Tournaments
ARMS,3257.10,31 Players,13 Tournaments
Under Night In-Birth EXE: Late[st],3040.00,15 Players,3 Tournaments
Street Fighter III: 3rd Strike,2958.36,3 Players,2 Tournaments
Super Street Fighter II Turbo,2490.00,16 Players,4 Tournaments
Battlefield 4,2305.53,20 Players,1 Tournament
Mortal Kombat XL,2290.00,16 Players,4 Tournaments
ComPet,2000.00,50 Players,1 Tournament
Clash of Clans,1576.87,2 Players,1 Tournament
Age of Empires III,1550.00,16 Players,4 Tournaments
Dead or Alive 5: Last Round,1360.00,3 Players,1 Tournament
Call of Duty 2,1073.91,6 Players,1 Tournament
S.K.I.L.L. - Special Force 2,1000.00,0 Players,1 Tournament
Vampire Savior,910.00,8 Players,1 Tournament
Soul Calibur II HD Online,650.00,8 Players,1 Tournament
Guilty Gear Xrd -REVELATOR-,627.94,10 Players,3 Tournaments
Catherine,570.00,5 Players,2 Tournaments
Melty Blood: Actress Again Current Code,520.00,8 Players,1 Tournament
Age of Empires Online,500.00,8 Players,1 Tournament
Capcom vs. SNK 2,470.00,3 Players,1 Tournament
Guilty Gear XX Accent Core Plus R,340.00,3 Players,1 Tournament
NHL '94,321.20,7 Players,3 Tournaments
Persona 4 Arena Ultimax,300.00,3 Players,1 Tournament
Gundam Versus,280.00,6 Players,1 Tournament
Dengeki Bunko: Fighting Climax Ignition,270.00,3 Players,1 Tournament
Ultra Street Fighter IV,250.00,3 Players,1 Tournament
Xonotic,249.81,8 Players,3 Tournaments
Puyo Puyo Tetris,240.00,3 Players,1 Tournament
Arcana Heart 3: LOVE MAX!!!!!,200.00,3 Players,1 Tournament
Koihime Enbu,190.00,3 Players,1 Tournament
Chaos Code: New Sign of Catastrophe,140.00,3 Players,1 Tournament
Soul Calibur V,120.00,2 Players,1 Tournament
